instance_id,task_type,variant_type,lang,repo,original_split,empirical_success_rate,reward_mean,reward_std,difficulty,difficulty_score,train_recommended,n_f2p_effective,n_p2p_effective,prompt_tokens
PyCQA__flake8.cf1542ce.func_basic__fmtax6ji,swe_patch,swe_64k,en,swesmith/PyCQA__flake8.cf1542ce,train,0.25,0.25,0.4330127018922193,medium,8,True,1,30,57942
Knio__dominate.9082227e.lm_rewrite__i11w5427,swe_patch,swe_32k,ko,swesmith/Knio__dominate.9082227e,train,0.0,0.10687731824684066,0.12606357384734923,very_hard,10,True,7,30,24572
PyCQA__flake8.cf1542ce.combine_module__r6vjxuov,swe_patch,swe_32k,ko,swesmith/PyCQA__flake8.cf1542ce,train,0.0,0.1,0.0,unsolved_no_signal,10,False,2,30,28199
pudo__dataset.5c2dc8d3.func_pm_ctrl_shuffle__gfu7q6ma,swe_patch,swe_32k,ko,swesmith/pudo__dataset.5c2dc8d3,train,0.0,0.0625,0.04841229182759271,very_hard,10,True,1,30,18336
pygments__pygments.27649ebb.combine_file__0bvd1xox,swe_patch,swe_64k,en,swesmith/pygments__pygments.27649ebb,train,0.0,0.03125,0.04284784125250653,very_hard,10,True,9,30,58452
mahmoud__boltons.3bfcfdd0.func_basic__pjctmraz,swe_patch,swe_128k,en,swesmith/mahmoud__boltons.3bfcfdd0,train,0.0,0.037500000000000006,0.04841229182759271,very_hard,10,True,2,30,116578
pyupio__safety.7654596b.combine_file__2gn66224,swe_patch,swe_32k,en,swesmith/pyupio__safety.7654596b,train,0.0,0.08522882954154465,0.07432265903802861,very_hard,10,True,19,30,28147
agronholm__typeguard.b6a7e438.combine_module__4gos0hbz,swe_patch,swe_32k,en,swesmith/agronholm__typeguard.b6a7e438,train,0.0,0.056473665961010285,0.08506149684273308,very_hard,10,True,50,30,28034
pyupio__safety.7654596b.combine_file__ufd9gojl,swe_patch,swe_128k,en,swesmith/pyupio__safety.7654596b,train,0.0,0.03125,0.024206145913796356,very_hard,10,True,1,29,118808
jd__tenacity.0d40e76f.combine_file__8pa1fxvj,swe_patch,swe_64k,ko,swesmith/jd__tenacity.0d40e76f,train,0.125,0.25516855493054974,0.3075764540993353,hard,9,True,9,30,37116
agronholm__typeguard.b6a7e438.combine_file__o3wq34zr,swe_patch,swe_32k,en,swesmith/agronholm__typeguard.b6a7e438,train,0.0,0.04466640786499874,0.06496686525789379,very_hard,10,True,50,30,28124
pdfminer__pdfminer.six.1a8bd2f7.combine_file__g2xn154m,swe_patch,swe_32k,ko,swesmith/pdfminer__pdfminer.six.1a8bd2f7,train,0.0,0.08898492424049176,0.033633139996323475,very_hard,10,True,50,30,28407
bottlepy__bottle.a8dfef30.func_basic__3giqa6tg,swe_patch,swe_128k,en,swesmith/bottlepy__bottle.a8dfef30,train,0.0,0.037500000000000006,0.0414578098794425,very_hard,10,True,2,30,96276
pygments__pygments.27649ebb.combine_file__40k5bixh,swe_patch,swe_128k,ko,swesmith/pygments__pygments.27649ebb,train,0.0,0.025,0.03535533905932738,very_hard,10,True,12,30,116609
jd__tenacity.0d40e76f.combine_file__y0lnsv2r,swe_patch,swe_64k,en,swesmith/jd__tenacity.0d40e76f,train,0.125,0.14375,0.32445868381043524,hard,9,True,50,26,36808
bottlepy__bottle.a8dfef30.func_basic__0yaqi7l2,swe_patch,swe_64k,ko,swesmith/bottlepy__bottle.a8dfef30,train,0.0,0.04695019343976094,0.04375137684837784,very_hard,10,True,13,30,58413
pudo__dataset.5c2dc8d3.func_pm_op_change__fq79104s,swe_patch,swe_32k,en,swesmith/pudo__dataset.5c2dc8d3,train,0.375,0.4,0.465698400254929,medium,6,True,2,30,18359
bottlepy__bottle.a8dfef30.func_basic__0wprhjy0,swe_patch,swe_64k,en,swesmith/bottlepy__bottle.a8dfef30,train,0.0,0.025,0.03535533905932738,very_hard,10,True,2,30,57274
agronholm__typeguard.b6a7e438.combine_file__5py5l9eu,swe_patch,swe_32k,ko,swesmith/agronholm__typeguard.b6a7e438,train,0.0,0.09375,0.016535945694153693,very_hard,10,True,1,30,27843
