id,parent,stage,reward,verifier,rubric,git,seed,job,status,steps,train_reward,val_score,val_resolved,val_f2p,val_p2p,val_apply,val_format,val_resolved_swe,val_resolved_ut,kl,entropy,max_grad,decision,reason,hypothesis,changes
smoke_rl_v1,,C,rw_v001_baseline,vf_v001,rb_v001_code_hint,37fcfa9,0.0,900877,failed,,,,,,,,,,,,,,reject,"attempt 4 (4 GPUs, bf16 model_dtype): rollout + verifier (64 samples, 0.6 s/verify) + update OK; crashed in trainer metrics: agent loop dropped TokenOutput.extra_fields (min/max_global_steps) -> fixed",verl 0.9 + Qwen1.5-MoE LoRA + RUSCA agent loop + hierarchical sampler + verifier reward run end-to-end for 3 steps on 64 rows,n/a (system smoke)
exp_D000_baseline,exp_D000_baseline,D,rw_v001_baseline,vf_v002,rb_v000_none,9541dc6,0.0,903117,collected,21.0,0.2173,0.213,0.1263,0.2191,1.0,0.4963,0.682,0.0,0.2525,0.0,1.0513,0.385,keep,baseline,,
exp_D001_f2p_binary,exp_D000_baseline,D,rw_v002_f2p_binary,vf_v002,rb_v001_code_hint,e4d7e85,0.0,903161,collected,21.0,0.2215,0.177,0.13,0.2111,1.0,0.4925,0.7211,0.0,0.26,0.0,1.1589,0.473,keep,val_resolved 0.1300 > best 0.12625,All-or-nothing F2P removes partial signal: lower held-out solve rate than the baseline power law,reward.f2p_mode=binary
exp_D002_f2p_linear,exp_D000_baseline,D,rw_v003_f2p_linear,vf_v002,rb_v001_code_hint,abf8370,0.0,903304,collected,21.0,0.2883,0.2372,0.1437,0.2221,1.0,0.4938,0.7366,0.0,0.2875,0.0,1.0341,0.43,keep,val_resolved 0.1437 > best 0.13,Linear partial credit (half=0.5) learns faster early but rewards easy-test picking,reward.f2p_mode=linear
exp_D003_f2p_ladder,exp_D000_baseline,D,rw_v005_f2p_ladder,vf_v002,rb_v001_code_hint,47a8873,0.0,903331,submitted,1.0,,,,,,,,,,,,0.0,reject,cancelled at model switch (Qwen1.5-MoE -> Qwen3-30B-A3B for long context); partial run kept,Threshold ladder (partial/mostly/complete) gives coarse but stable credit,reward.f2p_mode=ladder
exp_D004_p2p_strong,exp_D000_baseline,D,rw_v006_p2p_strong,vf_v002,rb_v000_none,6d6ef3b,0.0,901585,failed_or_running,1.0,,,,,,,,,,,,0.0,reject,run failed or no validation metric,Strong linear P2P penalty (1/30 costs 3.3%) is noisier and lowers solve rate,"reward.p2p_mode=linear,p2p_max=1.0"
exp_D005_p2p_tolerant,exp_D000_baseline,D,rw_v007_p2p_tolerant,vf_v002,rb_v000_none,6d6ef3b,0.0,901653,failed_or_running,1.0,,,,,,,,,,,,0.0,reject,run failed or no validation metric,Two free regressions (flaky allowance) keeps signal without raising regression rate,"reward.p2p_mode=tolerance,p2p_tolerance=2"
exp_D006_rule_only,exp_D000_baseline,D,rw_v011_rule_only,vf_v002,rb_v000_none,6d6ef3b,0.0,901676,failed_or_running,1.0,,,,,,,,,,,,0.0,reject,run failed or no validation metric,Rule-only 0/1 reward (no format/partial bands) learns slower on this model,reward=rule_only
exp_D007_rubric_heavy,exp_D000_baseline,D,rw_v012_rubric_heavy,vf_v002,rb_v002_checkable,6d6ef3b,0.0,901681,failed_or_running,1.0,,,,,,,,,,,,0.0,reject,run failed or no validation metric,"Checkable-rubric credit (0.4, never decays) improves format/apply rate but not solve rate",reward.rubric_weight=0.4
exp_D008_rusca,exp_D000_baseline,D,rw_v013_rusca,vf_v002,rb_v002_checkable,6d6ef3b,0.0,901684,failed_or_running,1.0,,,,,,,,,,,,0.0,reject,run failed or no validation metric,RUSCA (scaffold + rubric credit decaying to rule-only) beats both rubric-heavy and rule-only,reward.rubric_weight=0.2 with RUSCA stage decay
exp_D009_no_scaffold,exp_D000_baseline,D,rw_v001_baseline,vf_v002,rb_v000_none,6d6ef3b,0.0,901687,failed_or_running,0.0,,,,,,,,,,,,,reject,run failed or no validation metric,Without prompt scaffolding (RUSCA disabled) early exploration is worse,rollout.custom.rusca.enable=False
exp_D010_additive_nogate,exp_D000_baseline,D,rw_v014_additive_nogate,vf_v002,rb_v000_none,6d6ef3b,0.0,901688,failed_or_running,1.0,,,,,,,,,,,,0.0,reject,run failed or no validation metric,Non-gating additive reward (format/rubric credit even when apply fails) inflates train reward without solve-rate gains,"reward.mode=additive,gating=false"
exp_D011_ddca,exp_D000_baseline,D,rw_v001_baseline,vf_v002,rb_v000_none,6d6ef3b,0.0,901689,failed_or_running,1.0,,,,,,,,,,,,0.0,reject,run failed or no validation metric,DDCA length advantage shortens correct responses without hurting solve rate,algorithm.adv_estimator=grpo_ddca (beta 0.3)
