instance_id,repo_or_image,data_source,n_f2p,n_p2p,p_hat,difficulty_band,subset,has_gold_patch,has_buggy_files,prompt_len_chars,harness_kind,language
pdfminer__pdfminer.six.1a8bd2f7.combine_file__cgrkaq6d,swesmith/pdfminer__pdfminer.six.1a8bd2f7,t15_repo_patch,2,167,0.4,learnable,core,True,True,109842,swe_smith,en
jd__tenacity.0d40e76f.combine_file__h5lb5rzo,swesmith/jd__tenacity.0d40e76f,t15_repo_patch,19,104,0.75,learnable,core,True,True,159154,swe_smith,ko
Knio__dominate.9082227e.func_basic__rj7spm7s,swesmith/Knio__dominate.9082227e,t15_repo_patch,2,63,0.6,learnable,core,True,True,91442,swe_smith,en
luozhouyang__python-string-similarity.115acaac.func_pm_ctrl_shuffle__ni1hji13,swesmith/luozhouyang__python-string-similarity.115acaac,t15_repo_patch,1,17,0.75,learnable,core,True,True,78618,swe_smith,en
cantools__cantools.0c6a7871.combine_file__446ox3s6,swesmith/cantools__cantools.0c6a7871,t15_repo_patch,7,365,0.75,learnable,core,True,True,215081,swe_smith,ko
agronholm__typeguard.b6a7e438.combine_module__4fxfvib9,swesmith/agronholm__typeguard.b6a7e438,t15_repo_patch,8,448,0.4,learnable,core,True,True,285919,swe_smith,en
Knio__dominate.9082227e.combine_file__zliilddk,swesmith/Knio__dominate.9082227e,t15_repo_patch,7,58,0.4,learnable,core,True,True,91098,swe_smith,ko
Cog-Creators__Red-DiscordBot.33e0eac7.combine_module__1o97qyc1,swesmith/Cog-Creators__Red-DiscordBot.33e0eac7,t15_repo_patch,2,266,0.6,learnable,core,True,True,268324,swe_smith,ko
PyCQA__flake8.cf1542ce.func_basic__fmtax6ji,swesmith/PyCQA__flake8.cf1542ce,t15_repo_patch,1,418,0.75,learnable,core,True,True,248002,swe_smith,en
luozhouyang__python-string-similarity.115acaac.func_pm_class_rm_funcs__05aaiis6,swesmith/luozhouyang__python-string-similarity.115acaac,t15_repo_patch,1,17,0.4,learnable,core,True,True,77189,swe_smith,en
Knio__dominate.9082227e.lm_rewrite__i11w5427,swesmith/Knio__dominate.9082227e,t15_repo_patch,7,58,0.4,learnable,core,True,True,91176,swe_smith,ko
pdfminer__pdfminer.six.1a8bd2f7.func_basic__1922wei6,swesmith/pdfminer__pdfminer.six.1a8bd2f7,t15_repo_patch,13,156,0.6,learnable,core,True,True,443715,swe_smith,ko
bottlepy__bottle.a8dfef30.func_basic__4ns7r09f,swesmith/bottlepy__bottle.a8dfef30,t15_repo_patch,9,356,0.4,learnable,core,True,True,249165,swe_smith,en
PyCQA__flake8.cf1542ce.combine_module__r6vjxuov,swesmith/PyCQA__flake8.cf1542ce,t15_repo_patch,2,417,0.4,learnable,core,True,True,119868,swe_smith,ko
luozhouyang__python-string-similarity.115acaac.combine_file__7iakunhx,swesmith/luozhouyang__python-string-similarity.115acaac,t15_repo_patch,1,17,0.25,learnable,core,True,True,79250,swe_smith,en
pudo__dataset.5c2dc8d3.func_pm_ctrl_shuffle__gfu7q6ma,swesmith/pudo__dataset.5c2dc8d3,t15_repo_patch,1,58,0.4,learnable,core,True,True,79921,swe_smith,ko
pygments__pygments.27649ebb.combine_file__0bvd1xox,swesmith/pygments__pygments.27649ebb,t15_repo_patch,9,5051,0.4,learnable,core,True,True,232626,swe_smith,en
pdfminer__pdfminer.six.1a8bd2f7.combine_file__rlllt3i9,swesmith/pdfminer__pdfminer.six.1a8bd2f7,t15_repo_patch,60,109,0.25,learnable,core,True,True,431826,swe_smith,en
joke2k__faker.8b401a7d.func_pm_ctrl_shuffle__nreuzr4i,swesmith/joke2k__faker.8b401a7d,t15_repo_patch,3,2100,0.6,learnable,core,True,True,89572,swe_smith,en
PyCQA__flake8.cf1542ce.combine_file__cs06l9g7,swesmith/PyCQA__flake8.cf1542ce,t15_repo_patch,3,416,0.75,learnable,core,True,True,323080,swe_smith,ko
mahmoud__boltons.3bfcfdd0.func_basic__pjctmraz,swesmith/mahmoud__boltons.3bfcfdd0,t15_repo_patch,2,410,0.25,learnable,core,True,True,467166,swe_smith,en
pyupio__safety.7654596b.combine_file__2gn66224,swesmith/pyupio__safety.7654596b,t15_repo_patch,23,95,0.4,learnable,core,True,True,125188,swe_smith,en
agronholm__exceptiongroup.0b4f4937.combine_file__e14uhohy,swesmith/agronholm__exceptiongroup.0b4f4937,t15_repo_patch,28,61,0.25,learnable,core,True,True,110456,swe_smith,en
luozhouyang__python-string-similarity.115acaac.func_pm_class_rm_funcs__81k3t0m0,swesmith/luozhouyang__python-string-similarity.115acaac,t15_repo_patch,1,17,0.6,learnable,core,True,True,77693,swe_smith,ko
agronholm__typeguard.b6a7e438.combine_module__4gos0hbz,swesmith/agronholm__typeguard.b6a7e438,t15_repo_patch,130,234,0.25,learnable,core,True,True,136637,swe_smith,en
cknd__stackprinter.219fcc52.func_basic__2zzkhjzo,swesmith/cknd__stackprinter.219fcc52,t15_repo_patch,1,6,0.6,learnable,core,True,True,91506,swe_smith,en
pyupio__safety.7654596b.combine_file__ufd9gojl,swesmith/pyupio__safety.7654596b,t15_repo_patch,1,117,0.75,learnable,core,True,True,549675,swe_smith,en
Cog-Creators__Red-DiscordBot.33e0eac7.combine_module__4tphefy7,swesmith/Cog-Creators__Red-DiscordBot.33e0eac7,t15_repo_patch,5,263,0.6,learnable,core,True,True,532441,swe_smith,ko
jd__tenacity.0d40e76f.combine_file__8pa1fxvj,swesmith/jd__tenacity.0d40e76f,t15_repo_patch,9,114,0.6,learnable,core,True,True,159699,swe_smith,ko
agronholm__exceptiongroup.0b4f4937.combine_module__kxbg804z,swesmith/agronholm__exceptiongroup.0b4f4937,t15_repo_patch,32,57,0.25,learnable,core,True,True,109061,swe_smith,en
agronholm__exceptiongroup.0b4f4937.combine_module__qehwklvp,swesmith/agronholm__exceptiongroup.0b4f4937,t15_repo_patch,23,66,0.25,learnable,core,True,True,110192,swe_smith,en
agronholm__typeguard.b6a7e438.combine_file__o3wq34zr,swesmith/agronholm__typeguard.b6a7e438,t15_repo_patch,52,404,0.4,learnable,core,True,True,124069,swe_smith,en
pdfminer__pdfminer.six.1a8bd2f7.combine_file__g2xn154m,swesmith/pdfminer__pdfminer.six.1a8bd2f7,t15_repo_patch,58,111,0.75,learnable,core,True,True,98463,swe_smith,ko
PyCQA__flake8.cf1542ce.combine_file__gmmz46mc,swesmith/PyCQA__flake8.cf1542ce,t15_repo_patch,24,395,0.4,learnable,core,True,True,323384,swe_smith,ko
luozhouyang__python-string-similarity.115acaac.func_basic__ujspq4ne,swesmith/luozhouyang__python-string-similarity.115acaac,t15_repo_patch,1,17,0.4,learnable,core,True,True,78416,swe_smith,ko
bottlepy__bottle.a8dfef30.func_basic__3giqa6tg,swesmith/bottlepy__bottle.a8dfef30,t15_repo_patch,2,363,0.6,learnable,core,True,True,361568,swe_smith,en
pygments__pygments.27649ebb.combine_file__40k5bixh,swesmith/pygments__pygments.27649ebb,t15_repo_patch,12,5048,0.25,learnable,core,True,True,446600,swe_smith,ko
jd__tenacity.0d40e76f.combine_file__y0lnsv2r,swesmith/jd__tenacity.0d40e76f,t15_repo_patch,56,67,0.75,learnable,core,True,True,159156,swe_smith,en
Cog-Creators__Red-DiscordBot.33e0eac7.combine_module__hrxknpoa,swesmith/Cog-Creators__Red-DiscordBot.33e0eac7,t15_repo_patch,2,266,0.4,learnable,core,True,True,556504,swe_smith,en
bottlepy__bottle.a8dfef30.func_basic__0yaqi7l2,swesmith/bottlepy__bottle.a8dfef30,t15_repo_patch,13,352,0.6,learnable,core,True,True,252254,swe_smith,ko
joke2k__faker.8b401a7d.combine_module__tsjlsxv2,swesmith/joke2k__faker.8b401a7d,t15_repo_patch,20,2083,0.4,learnable,core,True,True,87022,swe_smith,ko
joke2k__faker.8b401a7d.combine_module__l4ifkoed,swesmith/joke2k__faker.8b401a7d,t15_repo_patch,5,2098,0.6,learnable,core,True,True,167336,swe_smith,en
